user_id,item_id,rating
user_001,gift_001,1.0
user_001,gift_003,1.0
user_001,gift_005,1.0
user_002,gift_002,1.0
user_002,gift_004,1.0
user_002,gift_006,1.0
user_003,gift_001,1.0
user_003,gift_007,1.0
user_003,gift_008,1.0
user_004,gift_003,1.0
user_004,gift_005,1.0
user_004,gift_009,1.0
user_005,gift_002,1.0
user_005,gift_006,1.0
user_005,gift_010,1.0
user_006,gift_004,1.0
user_006,gift_007,1.0
user_006,gift_009,1.0
user_007,gift_001,1.0
user_007,gift_008,1.0
user_007,gift_010,1.0
user_008,gift_002,1.0
user_008,gift_003,1.0
user_008,gift_009,1.0
user_009,gift_004,1.0
user_009,gift_005,1.0
user_009,gift_008,1.0
user_010,gift_006,1.0
user_010,gift_007,1.0
user_010,gift_010,1.0
